stdhour,routeno,routename,updowntypecode,vdsid,trafficamout,shareratio,conzoneid,conzonename,stddate,speed,timeavg,grade,collection_time
1540,0010,경부선,E,0010VDE08150,37,6,0010CZE140,도동JC-북대구IC,20250503,27,49,3,2025-05-03 15:43:09
1540,0010,경부선,E,0010VDE24600,47,27,0010CZE355,옥산IC-옥산JC,20250503,28,212,3,2025-05-03 15:43:09
1540,0010,경부선,E,0010VDE24700,39,33,0010CZE357,옥산JC-목천IC,20250503,27,145,3,2025-05-03 15:43:09
1540,0010,경부선,E,0010VDE25600,44,17,0010CZE357,옥산JC-목천IC,20250503,21,85,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS08100,85,10,0010CZS140,북대구IC-도동JC,20250503,37,42,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS08102,85,10,0010CZS140,북대구IC-도동JC,20250503,37,28,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS08400,39,55,0010CZS150,금호JC-북대구IC,20250503,10,302,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS08500,39,55,0010CZS150,금호JC-북대구IC,20250503,10,352,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS18555,39,15,0010CZS250,금강IC-영동IC,20250503,28,100,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS18556,39,15,0010CZS250,금강IC-영동IC,20250503,28,107,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS18800,34,40,0010CZS260,옥천IC-금강IC,20250503,19,185,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS18900,39,38,0010CZS260,옥천IC-금강IC,20250503,23,178,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS19000,24,19,0010CZS260,옥천IC-금강IC,20250503,30,125,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS19100,24,19,0010CZS260,옥천IC-금강IC,20250503,30,95,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS19200,37,31,0010CZS260,옥천IC-금강IC,20250503,30,118,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS19300,50,23,0010CZS260,옥천IC-금강IC,20250503,25,252,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS21000,50,29,0010CZS290,회덕JC-대전IC,20250503,26,181,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS21100,59,52,0010CZS290,회덕JC-대전IC,20250503,19,180,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS21200,53,54,0010CZS290,회덕JC-대전IC,20250503,26,122,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS21350,19,6,0010CZS290,회덕JC-대전IC,20250503,34,93,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS21400,57,45,0010CZS290,회덕JC-대전IC,20250503,19,242,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS21500,38,40,0010CZS300,신탄진IC-회덕JC,20250503,21,126,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS21600,52,52,0010CZS300,신탄진IC-회덕JC,20250503,17,302,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS21700,79,35,0010CZS300,신탄진IC-회덕JC,20250503,26,178,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS22500,58,35,0010CZS310,남청주IC-신탄진IC,20250503,23,105,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS22600,58,35,0010CZS310,남청주IC-신탄진IC,20250503,23,128,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS22700,57,37,0010CZS310,남청주IC-신탄진IC,20250503,21,155,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS22800,44,16,0010CZS310,남청주IC-신탄진IC,20250503,40,97,2,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS22900,61,20,0010CZS310,남청주IC-신탄진IC,20250503,34,74,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS23000,49,31,0010CZS320,청주JC-남청주IC,20250503,21,276,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS23050,49,31,0010CZS320,청주JC-남청주IC,20250503,21,318,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS23350,75,23,0010CZS330,남이JC-청주JC,20250503,32,240,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS23400,75,23,0010CZS330,남이JC-청주JC,20250503,32,184,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS23800,52,25,0010CZS340,청주IC-남이JC,20250503,36,164,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS23900,24,27,0010CZS350,옥산IC-청주IC,20250503,30,140,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS24100,37,23,0010CZS350,옥산IC-청주IC,20250503,18,225,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS24200,52,12,0010CZS355,옥산JC-옥산IC,20250503,40,106,2,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS26300,94,29,0010CZS370,천안IC-천안JC,20250503,31,103,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS26350,94,29,0010CZS370,천안IC-천안JC,20250503,31,127,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS26400,103,42,0010CZS370,천안IC-천안JC,20250503,24,228,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS27000,80,23,0010CZS385,안성IC-북천안IC,20250503,33,87,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS27100,80,23,0010CZS385,안성IC-북천안IC,20250503,33,163,3,2025-05-03 15:43:09
1540,0010,경부선,S,0010VDS27400,56,24,0010CZS385,안성IC-북천안IC,20250503,30,167,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),E,0100VDE10400,23,70,0100CZE205,칠원JC - 창원1터널(서측),20250503,9,790,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),E,0100VDE10600,43,36,0100CZE205,칠원JC - 창원1터널(서측),20250503,27,263,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS05900,44,40,0100CZS100,사천IC-축동IC,20250503,25,155,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS06000,51,31,0100CZS100,사천IC-축동IC,20250503,34,92,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS06200,43,27,0100CZS100,사천IC-축동IC,20250503,35,140,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS06400,22,57,0100CZS100,사천IC-축동IC,20250503,10,526,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS06700,65,27,0100CZS120,진주IC-진주JC,20250503,32,90,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS09700,93,28,0100CZS190,산인JC-함안IC,20250503,36,87,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS09800,93,28,0100CZS190,산인JC-함안IC,20250503,36,107,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS09900,85,31,0100CZS190,산인JC-함안IC,20250503,35,117,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS10000,85,31,0100CZS190,산인JC-함안IC,20250503,35,138,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS10608,38,30,0100CZS210,창원1터널(동측) - 창원1터널(서측),20250503,26,90,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS10609,34,25,0100CZS215,북창원IC - 창원1터널(동측),20250503,27,71,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS10700,39,34,0100CZS215,북창원IC - 창원1터널(동측),20250503,25,92,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS10800,39,33,0100CZS220,창원JC-북창원IC,20250503,31,152,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS10830,27,11,0100CZS220,창원JC-북창원IC,20250503,24,178,3,2025-05-03 15:43:09
1540,0100,남해선(순천-부산),S,0100VDS10870,31,12,0100CZS220,창원JC-북창원IC,20250503,25,150,3,2025-05-03 15:43:09
1540,0150,서해안선,E,0150VDE26600,56,2,0150CZE290,서평택JC-발안IC,20250503,27,154,3,2025-05-03 15:43:09
1540,0150,서해안선,E,0150VDE26700,56,2,0150CZE290,서평택JC-발안IC,20250503,27,154,3,2025-05-03 15:43:09
1540,0150,서해안선,E,0150VDE26800,56,2,0150CZE290,서평택JC-발안IC,20250503,27,167,3,2025-05-03 15:43:09
1540,0150,서해안선,E,0150VDE28000,47,46,0150CZE315,매송IC-팔곡JC,20250503,18,72,3,2025-05-03 15:43:09
1540,0150,서해안선,E,0150VDE28930,75,40,0150CZE360,목감IC-광명역IC,20250503,30,136,3,2025-05-03 15:43:09
1540,0150,서해안선,S,0150VDS11900,36,12,0150CZS130,동군산IC-서김제IC,20250503,33,249,3,2025-05-03 15:43:09
1540,0150,서해안선,S,0150VDS13400,26,44,0150CZS150,동서천JC-군산IC,20250503,14,316,3,2025-05-03 15:43:09
1540,0150,서해안선,S,0150VDS23800,51,8,0150CZS260,송악IC-당진IC,20250503,38,89,3,2025-05-03 15:43:09
1540,0150,서해안선,S,0150VDS23900,61,9,0150CZS260,송악IC-당진IC,20250503,38,85,3,2025-05-03 15:43:09
1540,0150,서해안선,S,0150VDS24000,54,12,0150CZS260,송악IC-당진IC,20250503,30,113,3,2025-05-03 15:43:09
1540,0150,서해안선,S,0150VDS24900,62,12,0150CZS265,포승JC-송악IC,20250503,31,118,3,2025-05-03 15:43:09
1540,0150,서해안선,S,0150VDS25000,62,10,0150CZS265,포승JC-송악IC,20250503,35,131,3,2025-05-03 15:43:09
1540,0150,서해안선,S,0150VDS25100,44,9,0150CZS265,포승JC-송악IC,20250503,30,128,3,2025-05-03 15:43:09
1540,0150,서해안선,S,0150VDS25200,43,9,0150CZS265,포승JC-송악IC,20250503,32,100,3,2025-05-03 15:43:09
