교육청코드,학교코드,학교명,급식일자,식사명,급식식단
B10,7010057,가락고등학교,20250519,중식,쌀밥 <br/>소고기미역국 (2.5.6.15.16.18)<br/>돼지갈비찜 (5.6.8.10.13.18)<br/>진미채무침 (1.5.6.13.16.17)<br/>잡채 (5.6.8.10.13.18)<br/>배추겉절이 (9)
B10,7010057,가락고등학교,20250520,중식,쇠고기콩나물밥 (5.6.16)<br/>물만두국 (1.2.5.6.10.15.16.18)<br/>매콤돈사태떡찜 (5.6.8.10.13.18)<br/>쥐어채볶음 (5.6.13)<br/>깍두기 (9)<br/>포도 
B10,7010057,가락고등학교,20250521,중식,새우볶음밥 (1.5.6.8.9.13.18)<br/>씨앗호떡파이 (1.2.3.5.6)<br/>유부장국 (2.5.6.15.16.18)<br/>마늘닭강정 (1.2.5.6.8.12.13.15.16.18)<br/>배추김치 (9)<br/>열대과일샐러드 (1.5)
B10,7010057,가락고등학교,20250522,중식,쌀밥 <br/>볶음우동 (5.6.8.9.13.15.17.18)<br/>zero초코파이 (1.2.4.5.6.10.16)<br/>뼈없는감자탕 (2.5.6.10.15.16.18)<br/>장문뽈락구이 (2.5.6.13)<br/>총각김치 (9)
B10,7010057,가락고등학교,20250523,중식,현미밥 <br/>어묵국 (1.2.5.6.15.16.18)<br/>마라찜닭 (5.6.8.13.15.18)<br/>단호박&고구마고로케 (5.6)<br/>배추김치 (9)<br/>옥수수라떼 (2)
B10,7010057,가락고등학교,20250526,중식,쌀밥 <br/>김치찌개 (2.5.6.9.10.15.16.18)<br/>참나물겉절이 (13)<br/>버섯불고기 (5.6.10.13.18.8)<br/>꼬치없는소떡소떡 (2.5.6.10.12.13.16.18.8)<br/>깍두기 (9)
B10,7010057,가락고등학교,20250527,중식,흑미밥 <br/>쇠고기뭇국 (2.5.6.15.16.18)<br/>청경채된장무침 (5.6.13)<br/>무말랭이지 (9)<br/>닭갈비 (5.6.8.13.15.18)<br/>심쿵햄전 (1.10)
B10,7010057,가락고등학교,20250528,중식,쌀밥 <br/>육개장 (1.2.5.6.15.16.18)<br/>트러플크림떡볶이 (1.2.5.6.10.13.15.16)<br/>고구마치즈롤까스 (1.2.5.6.8.10.12.13.16.18)<br/>깍두기 (9)<br/>패션후르츠주스 (13)
B10,7010057,가락고등학교,20250529,중식,참치야채비빔밥 (3.5.6.8.13.16.18)<br/>된장찌개 (2.5.6.15.16.18)<br/>미니새송이버섯볶음 (5.6)<br/>새우꼬치&칠리소스 (1.5.6.9.12)<br/>배추김치 (9)<br/>골드키위 
B10,7010057,가락고등학교,20250530,중식,현미밥 <br/>도가니탕&소면 (2.5.6.15.16.18)<br/>미역줄기볶음 (5.6.13)<br/>제육볶음 (5.6.8.10.13.18)<br/>배추겉절이 (9)<br/>수리취우유크림떡 (2.5.10.13)
B10,7010057,가락고등학교,20250602,중식,쌀밥 <br/>한우장터국밥 (2.5.6.15.16.18)<br/>햄감자채볶음 (1.2.5.6.10.12.15.16)<br/>훈제오리고기&머스타드 (1.2.5.6.16.18)<br/>배추김치 (9)<br/>방울카프레제샐러드 (2.5.6.12.13)
B10,7010057,가락고등학교,20250604,중식,응원햄김치볶음밥 (1.2.5.6.8.9.10.13.16.18)<br/>팽이버섯장국 (2.5.6.15.16.18)<br/>시금치나물 (5.6)<br/>고추마요치킨 (1.4.5.6.13.15.16)<br/>깍두기 (9)<br/>밭에서온리얼고구마찰떡 (2.5.6)
B10,7010057,가락고등학교,20250605,중식,멸치우엉주먹밥 (5.6.8.13.16.18.2)<br/>잔치국수 (1.2.5.6.9.13.15.16.18.4)<br/>만두찜 (5.6)<br/>열무김치 (9)<br/>부추겉절이 (13)<br/>파인애플 
B10,7010057,가락고등학교,20250609,중식,쌀밥 <br/>오모가리묵은지김치찌개 (2.5.6.9.10.15.16.18)<br/>간장찜닭 (2.5.6.13.15)<br/>비름나물고추장무침 (5.6.13)<br/>에그랑땡 (1.2.5.6.10.16.18)<br/>깍두기 (9)
B10,7010057,가락고등학교,20250610,중식,투움바파스타 (1.2.5.6.9.10.12.13.15.16.18)<br/>불고기피자 (1.2.5.6.12.15.16)<br/>쌀밥 <br/>김치콩나물국 (2.5.6.9.15.16.18)<br/>블루베리샐러드 (1.2.5.6)<br/>모듬야채피클 <br/>마시는제주한라봉봉 
B10,7010057,가락고등학교,20250611,중식,계란볶음밥 (1.5.6.8.18)<br/>꼬들단무지 (13)<br/>중화깐풍육 (1.2.5.6.10.12.13.16)<br/>배추김치 (9)<br/>짜장소스 (1.2.5.6.8.10.13.15.16.18)<br/>슬러시 (13)
B10,7010057,가락고등학교,20250612,중식,현미밥 <br/>갈비완자탕&당면 (1.2.5.6.10.16)<br/>매콤돼지갈비찜 (5.6.10.13)<br/>수제해물파전 (1.5.6.9.13.17)<br/>배추겉절이 (9)<br/>바나나 
B10,7010057,가락고등학교,20250613,중식,쌀밥 <br/>부대찌개 (1.2.5.6.9.10.12.15.16)<br/>곤약메추리알조림 (1.5.6.13)<br/>피쉬앤칩스 (1.2.5.6.13.16)<br/>깍두기 (9)<br/>김자반스틱 
B10,7010057,가락고등학교,20250616,중식,수수밥 <br/>조랭이떡국 (1.2.5.6.15.16.18)<br/>계란찜 (1)<br/>마늘쫑볶음 (5.13)<br/>콩나물불고기 (5.6.10.13)<br/>배추김치 (9)
B10,7010057,가락고등학교,20250617,중식,쌀밥 <br/>강릉식짬뽕순두부국 (5.6.8.9.10.15.16.17.18)<br/>치킨치즈블럭카츠 (1.2.5.6.15.16)<br/>깍두기 (9)<br/>천도복숭아주스 (2.11)<br/>타코샐러드 (1.2.5.6.12.13.16)
B10,7010057,가락고등학교,20250618,중식,쌀국수 (2.5.6.10.15.16.18)<br/>양파초절임 (13)<br/>사모사&스프링롤 (1.5.6.8.9)<br/>배추김치 (9)<br/>반미샌드위치 (1.2.5.6.12.13.16)<br/>수박 
B10,7011169,가재울고등학교,20250519,중식,*칠분도미현미밥 <br/>*쇠고기샤브샤브국 (5.6.16)<br/>*볼어묵감자조림 (1.5.6.13)<br/>*매운돼지사태찜 (5.6.10.13)<br/>*배추김치 (9)<br/>*수제고르곤졸라또띠아 (2.5.6.12.13)
B10,7011169,가재울고등학교,20250520,중식,*찹쌀밥 <br/>*도가니탕 (16)<br/>*부추겉절이 (5.6.13)<br/>*떡쌈고기말이 (5.6.10.15.16.18)<br/>*김치전 (1.5.6.9.13)<br/>*알타리김치 (9)<br/>*조각파인애플 
B10,7011169,가재울고등학교,20250521,중식,*추가밥 <br/>*잔치국수 (1.5.6)<br/>*수제닭강정 (4.5.6.12.13.15)<br/>*배추김치 (9)<br/>*아삭고추쌈장무침 (5.6.13)<br/>*요쿠르트 (2)
B10,7011169,가재울고등학교,20250522,중식,"*칼슘강화잡곡밥 (5)<br/>*된장찌개(감자,호박) (5.6.9)<br/>*콩나물무침 (5)<br/>*쭈꾸미돼지불고기 (5.6.10.13)<br/>*볶음김치 (5.9.13)<br/>*찰도그롤 (1.2.5.6.10.12.15.18)"
B10,7011169,가재울고등학교,20250523,중식,*제육덮밥 (5.6.10.13)<br/>*콩가루배추된장국 (5.6.9)<br/>*시금치나물 (5.6)<br/>*회오리감자 (1.5.6)<br/>*배추김치 (9)<br/>*키위사과주스 (13)
B10,7011169,가재울고등학교,20250526,중식,*칼슘강화잡곡밥 (5)<br/>*바지락감자쑥국 (5.6.18)<br/>*마파두부(반찬) (5.6.10.12.13.18)<br/>*수제마늘간장돈육강정(떡) (1.2.5.6.10.13)<br/>*배추김치 (9)<br/>*사과 
B10,7011169,가재울고등학교,20250527,중식,*칠분도미현미밥 <br/>*비벼먹는짜글이찌개 (1.2.5.6.9.10.13.15.16)<br/>*삼색달걀말이 (1.2.5.6.8.10.15.16)<br/>*삼치엿장구이 (5.6.13)<br/>*열무김치 (9)<br/>*애플파이 (1.2.5.6)
B10,7011169,가재울고등학교,20250528,중식,*치킨마요덮밥 (1.5.6.13.15.18)<br/>*얼큰콩나물국 (5.9)<br/>=오이부추무침 (13)<br/>*소떡소떡 (5.6.12.13)<br/>*깍두기 (9)<br/>*복숭아주스 (11.13)
B10,7011169,가재울고등학교,20250529,중식,*귀리밥 <br/>*조랭이떡국 (1.5.6.16)<br/>바베큐닭다리살구이 (2.5.6.12.13.15)<br/>*콘치즈구이 (1.2.5.6.8.10.13.15.16)<br/>*배추김치 (9)<br/>*황도후르츠 (11)
B10,7011169,가재울고등학교,20250530,중식,*열무보리비빔밥 (9.13)<br/>*무청시래기된장국 (5.6.9)<br/>*연두부/양념장(팩) (5.6)<br/>*오징어튀김 (1.5.6.17)<br/>*깍두기 (9)<br/>*자몽에이드 
B10,7011169,가재울고등학교,20250602,중식,*찹쌀밥 <br/>*들깨새알심미역국 (5.6.9)<br/>*오븐오리바베큐&채소절임 (1.2.5.6.13)<br/>*양념꼬치어묵 (1.5.6.13)<br/>*배추김치 (9)<br/>*바나나 
B10,7011169,가재울고등학교,20250604,중식,*추가밥 <br/>*불고기버거 (1.2.5.6.10.12.15.16)<br/>*어묵우동 (1.2.5.6.9.13)<br/>*깍두기 (9)<br/>*자두드레싱 <br/>*베리주스 (13)<br/>*황도그린샐러드 (1.2.5.6.11.12)
B10,7011169,가재울고등학교,20250605,중식,*칼슘강화잡곡밥 (5)<br/>*무청시래기된장국 (5.6.9)<br/>*달걀장조림 (1.5.6.13)<br/>*파채콩나물무침 (5.6.13)<br/>*고추장삼겹살구이 (5.6.10.13)<br/>*나박김치 (9)<br/>*곡물음료(미숫가루) (5.13)
B10,7011169,가재울고등학교,20250609,중식,"*찹쌀밥 <br/>*된장찌개(감자,호박) (5.6.9)<br/>*실곤약채소무침 (5.6.13)<br/>*웨지감자버터구이 (2.5.13)<br/>*치즈함박스테이크 (1.2.5.6.10.12.15.16)<br/>*배추김치 (9)<br/>*키위 "
B10,7011169,가재울고등학교,20250610,중식,*칠분도미현미밥 <br/>*감자수제비국 (5.6.18)<br/>*볶음김치 (1.2.5.6.9.10.13.15.16)<br/>*동그랑땡 (1.2.5.6.10.15.16)<br/>*고등어고추장양념구이 (5.6.7.13)<br/>*메론슬러시 (1.2.5)
B10,7011169,가재울고등학교,20250611,중식,*추가밥 <br/>*미니빠네파스타 (1.2.5.6.10.13.16)<br/>*수제닭다리바베큐구이 (2.5.6.12.13.15)<br/>*애플그린샐러드 (1.2.5.6.12)<br/>*오이피클 <br/>*자두주스 
B10,7011169,가재울고등학교,20250612,중식,*칼슘강화잡곡밥 (5)<br/>*콩가루배추된장국 (5.6.9)<br/>*청포묵김가루무침 (5.6.13)<br/>*제육볶음 (5.6.10.13)<br/>*메밀전병 (2.3.5.6.16.18)<br/>*깻잎김치 (9)<br/>*수박 
B10,7011169,가재울고등학교,20250613,중식,*단호박카레라이스 (2.5.6.10.12.13.16)<br/>*연두부달걀국 (1.5.6.9)<br/>*오이도라지생채 (5.6.13)<br/>*치파이 (1.5.6.15.18)<br/>*깍두기 (9)<br/>*수제망고라씨 (2.13)
B10,7011169,가재울고등학교,20250616,중식,*칼슘강화잡곡밥 (5)<br/>*김치콩나물국 (5.6.9)<br/>*바베큐폭찹(앞다리) (1.5.6.10.12.13.15)<br/>리코타치즈샐러드 (2.5.6.11.12.13)<br/>*감자고로케&케첩 (1.5.6.12)<br/>*알타리김치 (9)
